,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,
37,38,Sell loss,30.144,52,30.974,2019-12-23 17:00:00-05:00,30.97,30.97,108,30.166,30.166,42,8040,30.974,24,-0.83,-105,5,29.362,0,0,Sell,loss,-1.032338308,-105,-0.021068129,0.001321432,loss,0,6,68.42105263,241,-0.44,70%
38,39,Buy win,30.974,5,31.774,2020-01-28 17:00:00-05:00,30.97,30.97,132,30.166,30.166,66,8040,30.764,0,-0.21,-25,9,31.774,20,0,Buy,win,0.995024876,100,0.02030663,0.001808231,normal,0,16,69.23076923,341,0.333333333,70%
39,40,Buy loss,31.583,41,31.009,2020-10-08 17:00:00-04:00,31.583,31.583,23,31.047,31.047,17,5360,31.009,12,-0.574,-105,41,31.63,0,31.63,Buy,loss,-1.070895522,-105,-0.021855011,0.00121665,loss,0,2,67.5,236,0.15,65%
40,41,Sell win,31.009,41,30.511,2020-10-08 17:00:00-04:00,31.583,31.583,35,31.047,31.047,29,5360,31.338,11,-0.329,-60,45,30.511,21,31.63,Sell,win,0.929104478,95,0.018961316,0.001649447,same_hi,9,2,68.29268293,331,-0.09375,65%
41,42,Sell loss,31.126,19,31.494,2021-05-16 17:00:00-04:00,31.404,31.404,6,31.138,31.087,12,2660,31.494,10,-0.368,-140,19,30.872,10,0,Sell,loss,-1.383458647,-140,-0.02823385,0.00093794,loss,0,1,66.66666667,191,0.333333333,60%
42,43,Buy loss,31.494,22,31.115,2021-06-01 17:00:00-04:00,31.404,31.404,6,31.138,31.138,12,2660,31.115,12,-0.379,-140,22,31.494,0,31.494,Buy,loss,-1.42481203,-140,-0.029077797,0.0002399,loss,0,0,65.11627907,51,-0.333333333,55%
43,44,Sell loss,31.115,22,31.437,2021-06-01 17:00:00-04:00,31.404,31.404,18,31.138,31.138,24,2660,31.437,11,-0.322,-120,24,30.872,0,31.494,Sell,loss,-1.210526316,-120,-0.024704619,-0.000327021,loss,5,1,63.63636364,-69,0.142857143,50%
44,45,Buy win,31.437,24,31.67,2021-06-16 17:00:00-04:00,31.404,31.404,29,31.138,31.138,35,2660,31.282,0,-0.155,-60,24,31.67,2,0,Buy,win,0.87593985,90,0.017876323,7.75E-05,normal,5,9,64.44444444,21,-0.09375,50%
45,46,Buy win,33.483,38,33.962,2021-09-21 17:00:00-04:00,33.47,33.47,32,32.265,32.594,16,12050,32.562,41,-0.921,-75,48,33.962,52,33.962,Buy,win,0.397510373,40,0.008112457,0.000252171,same_hi,1,0,65.2173913,61,0.333333333,50%
46,47,Sell win,32.886,6,32.404,2022-02-07 17:00:00-05:00,33.444,33.444,7,32.924,32.924,13,5200,33.04,0,-0.154,-30,7,32.404,5,0,Sell,win,0.926923077,95,0.018916797,0.00064929,normal,0,1,65.95744681,156,0.3,50%
47,48,Buy win,34.925,23,35.432,2022-06-12 17:00:00-04:00,34.759,34.759,22,34.086,34.086,14,6730,34.718,0,-0.207,-30,25,35.432,6,0,Buy,win,0.753343239,75,0.015374352,0.000956062,normal,1,1,66.66666667,231,0.222222222,55%
48,49,Buy win,36.78,35,38.26,2022-08-31 17:00:00-04:00,36.738,36.738,30,35.216,35.216,15,15220,36.19,8,-0.59,-40,39,38.26,19,0,Buy,win,0.972404731,95,0.019844995,0.001341551,normal,0,0,67.34693878,326,0.333333333,55%
