,time,open,high,low,close,EMA90,EMA,EMA60,EMA45,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
51,2016-11-21T09:00:00+07:00,1.23452,1.23489,1.23283,1.23397,1.241081223,1.241424111,1.241943378,1.242255322,1.241579565,1.24438452,3,1,1.24751,36,1.26738,70,1.23397,67,1.23018,Buy,52,70,Buy,loss,-0.013539999999999885,-1.0853620411860334,Buyloss
52,2016-11-25T17:00:00+07:00,1.24722,1.24725,1.24268,1.24389,1.242420082,1.242780728,1.243219827,1.243562701,1.243747252,1.237544278,3,2,1.23397,2,1.23123,27,1.24389,6,1.25124,Sell,53,27,Sell,loss,-0.009919999999999929,-0.8039093332901066,Sellloss
53,2016-12-16T05:00:00+07:00,1.24154,1.24291,1.23825,1.24026,1.257414386,1.258251238,1.258892355,1.259025315,1.25796725,1.262326352,3,1,1.24389,41,1.27747,87,1.24026,85,1.23758,Buy,54,87,Buy,loss,-0.003630000000000022,-0.2918264476762433,Buyloss
54,2017-01-18T21:00:00+07:00,1.22834,1.23489,1.22785,1.23094,1.225058094,1.223806406,1.222717385,1.222060236,1.22243324,1.211784863,3,2,1.24026,117,1.1986,131,1.23094,5,1.251,Sell,55,131,Sell,win,0.009319999999999995,0.7514553400093525,Sellwin
55,2017-02-07T01:00:00+07:00,1.24704,1.24804,1.24542,1.24635,1.247661001,1.249085299,1.250617133,1.251923695,1.252238273,1.250532931,3,1,1.23094,64,1.2706,79,1.24635,2,1.22527,Buy,56,79,Buy,win,0.015410000000000146,1.2518888004289523,Buywin
56,2017-02-09T01:00:00+07:00,1.25364,1.25448,1.25142,1.25365,1.247803225,1.248876694,1.249888171,1.250526466,1.250354615,1.239568266,3,2,1.24635,4,1.23464,13,1.25365,12,1.25495,Sell,57,13,Sell,loss,-0.007299999999999862,-0.5857102740000691,Sellloss
57,2017-02-15T21:00:00+07:00,1.23941,1.24815,1.2385,1.24494,1.248240797,1.248742839,1.249017501,1.248870367,1.248133957,1.252563387,3,1,1.25365,3,1.25821,29,1.24494,28,1.2383,Buy,58,29,Buy,loss,-0.008709999999999996,-0.6947712678977382,Buyloss
58,2017-03-17T04:00:00+07:00,1.23568,1.23634,1.23454,1.23561,1.22743375,1.226160405,1.224964996,1.224184137,1.224579368,1.219701135,3,2,1.24494,113,1.21088,129,1.23561,41,1.25695,Sell,59,129,Sell,win,0.009329999999999838,0.7494337076485484,Sellwin
59,2017-04-10T20:00:00+07:00,1.24004,1.24287,1.23997,1.24191,1.243725503,1.24418952,1.244525183,1.244493612,1.243742817,1.245479467,3,1,1.23561,40,1.26151,100,1.24191,2,1.23237,Buy,60,100,Buy,win,0.006299999999999972,0.5098696190545537,Buywin
60,2017-04-13T00:00:00+07:00,1.24909,1.25479,1.24818,1.25436,1.244562505,1.245048353,1.245469423,1.245750718,1.246007328,1.243653964,3,2,1.24191,0,1.23904,14,1.25436,0,1.25479,Sell,61,14,Sell,loss,-0.01244999999999985,-1.002488103002621,Sellloss
61,2017-05-29T08:00:00+07:00,1.28241,1.28311,1.28147,1.28271,1.292136697,1.292741326,1.292981982,1.292694094,1.291471803,1.292583616,3,1,1.25436,154,1.30476,194,1.28271,0,1.24818,Buy,62,194,Buy,win,0.028350000000000097,2.260116712905394,Buywin
62,2017-06-07T08:00:00+07:00,1.29026,1.29068,1.28961,1.28983,1.289447883,1.289437215,1.289250012,1.289003347,1.289003277,1.286512008,3,2,1.28271,14,1.27688,43,1.28983,38,1.29505,Sell,63,43,Sell,loss,-0.007120000000000015,-0.5550748025664426,Sellloss
63,2017-06-12T08:00:00+07:00,1.27436,1.27693,1.27365,1.27531,1.287691804,1.287337328,1.286719076,1.285786811,1.284264803,1.286824223,3,1,1.28983,7,1.29776,18,1.27531,13,1.26354,Buy,64,18,Buy,loss,-0.014520000000000088,-1.1257297473310504,Buyloss
64,2017-06-28T16:00:00+07:00,1.28282,1.28547,1.28109,1.28312,1.275912942,1.275200883,1.274611531,1.274395455,1.275052141,1.27937,3,2,1.27531,44,1.2589,75,1.28312,71,1.2861,Sell,65,75,Sell,loss,-0.007810000000000095,-0.6124001223232073,Sellloss
65,2017-07-12T04:00:00+07:00,1.28451,1.28647,1.2835,1.28624,1.287555465,1.288220582,1.288964857,1.289589026,1.28955853,1.2925374,3,1,1.28312,10,1.30306,57,1.28624,0,1.28109,Buy,66,57,Buy,win,0.0031200000000000117,0.24315730407132705,Buywin
66,2017-07-14T12:00:00+07:00,1.29531,1.2966,1.29488,1.29575,1.288598529,1.289246138,1.289945687,1.290581678,1.291039691,1.285543692,3,2,1.28624,3,1.28118,15,1.29575,0,1.2966,Sell,67,15,Sell,loss,-0.009509999999999907,-0.7393643487995947,Sellloss
67,2017-08-07T20:00:00+07:00,1.30222,1.30321,1.30138,1.3024,1.308204617,1.309431967,1.310564087,1.311384994,1.311311135,1.315807371,3,1,1.29575,84,1.3268,98,1.3024,25,1.29328,Buy,68,98,Buy,win,0.006650000000000045,0.5132162840054058,Buywin
68,2017-08-29T16:00:00+07:00,1.29603,1.29728,1.2945,1.29553,1.290949797,1.289976215,1.288969598,1.288198552,1.288276997,1.290343889,3,2,1.3024,77,1.27739,96,1.29553,0,1.30569,Sell,69,96,Sell,win,0.006869999999999932,0.5274877149877097,Sellwin
