,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,accum_winrate20,accum_winrate50
241,242,Sell loss,1.354,40,1.35852,2021-10-04 08:30:00+07:00,1.3571,1.3571,19,1.35405,1.35405,8,30.0,1.35852,16,-0.0045199999999998575,-150.0,40,1.3521651,0.0,0.0,Sell,loss,-1.4819672131147088,-150.0,-0.003462540217557731,4.797603147006037e-05,loss,2,0,78.51239669421487,486.0,-0.4074074074074074,95.0,76.0
242,243,Buy win,1.35852,40,1.3589849,2021-10-04 16:30:00+07:00,1.3571,1.3571,35,1.35405,1.35405,24,30.0,1.35604,0,-0.0024800000000000377,-80.0,40,1.3589849,2.0,0.0,Buy,win,0.1524262295082301,15.0,0.000356136050252874,4.924417969550405e-05,normal,3,10,78.60082304526749,501.0,0.1864406779661017,95.0,76.0
243,244,Buy win,1.36031,40,1.3622204400000002,2021-10-07 13:30:00+07:00,1.35939,1.35939,12,1.35481,1.35481,43,45.0,1.35705,3,-0.0032599999999998186,-70.0,40,1.3622204400000002,15.0,0.0,Buy,win,0.4171266375546461,40.0,0.0009745949475575843,5.303660087526668e-05,normal,0,0,78.68852459016394,541.0,-0.5636363636363636,95.0,76.0
244,245,Buy win,1.36403,40,1.36432,2021-10-08 19:30:00+07:00,1.36319,1.36319,42,1.35923,1.35923,10,40.0,1.36089,17,-0.0031400000000001427,-80.0,41,1.36432,25.0,1.36432,Buy,win,0.07323232323229902,5.0,0.00017110355895396965,5.351850682660833e-05,same_hi,2,0,78.77551020408163,546.0,0.6153846153846154,95.0,78.0
245,246,Sell win,1.36102,41,1.3584,2021-10-11 23:30:00+07:00,1.3665,1.3665,20,1.36111,1.36111,40,55.0,1.36189,0,-0.0008700000000001484,-15.0,41,1.3584,29.0,1.3584,Sell,win,0.48608534322817104,50.0,0.001135713418757409,5.791767313527012e-05,same_hi,0,1,78.86178861788618,596.0,0.3333333333333333,95.0,80.0
246,247,Buy win,1.3641,41,1.3663964999999998,2021-10-13 22:00:00+07:00,1.36377,1.36377,10,1.35952,1.35952,5,40.0,1.36314,7,-0.0009600000000000719,-25.0,41,1.3663964999999998,9.0,0.0,Buy,win,0.5403529411764175,55.0,0.0012625068719075176,6.279455248252618e-05,normal,0,0,78.94736842105263,651.0,0.3333333333333333,95.0,80.0
247,248,Buy win,1.37246,41,1.37567046,2021-10-15 15:00:00+07:00,1.37229,1.37229,46,1.36682,1.36682,17,55.0,1.37158,1,-0.0008799999999999919,-15.0,41,1.37567046,6.0,0.0,Buy,win,0.5869213893967049,60.0,0.0013713116574689368,6.807083113166493e-05,normal,1,0,79.03225806451613,711.0,0.4603174603174603,100.0,80.0
248,249,Sell win,1.37384,42,1.37259444,2021-10-18 08:00:00+07:00,1.37692,1.37651,21,1.37409,1.37409,10,30.0,1.37463,0,-0.0007900000000000684,-30.0,42,1.37259444,9.0,0.0,Sell,win,0.4401272084805361,45.0,0.0010283345992535891,7.192731212813854e-05,swap_TP,0,0,79.11646586345381,756.0,-0.3548387096774194,100.0,80.0
249,250,Sell win,1.37873,42,1.37795108,2021-10-20 14:00:00+07:00,1.38275,1.38109,40,1.37915,1.37915,14,35.0,1.38076,0,-0.0020299999999999763,-55.0,42,1.37795108,2.0,0.0,Sell,win,0.21636666666665083,20.0,0.0005055295950155393,7.366172125968814e-05,swap_TP,0,0,79.2,776.0,-0.48148148148148145,100.0,82.0
250,251,Sell win,1.37425,42,1.37425,2021-10-22 22:30:00+07:00,1.38327,1.38327,91,1.37428,1.37428,104,90.0,1.37921,33,-0.0049600000000000755,-55.0,43,1.37425,42.0,1.37425,Sell,win,0.0,0.0,0.0,7.336824826662165e-05,same_hi,2,0,79.28286852589642,776.0,0.06666666666666667,100.0,82.0
251,252,Buy win,1.37591,43,1.3774349000000001,2021-10-28 14:30:00+07:00,1.37555,1.37555,28,1.3725,1.3725,13,30.0,1.373,9,-0.002909999999999968,-95.0,43,1.3774349000000001,12.0,0.0,Buy,win,0.49996721311480774,50.0,0.001168147694193476,7.771261114728376e-05,normal,1,0,79.36507936507937,826.0,0.36585365853658536,100.0,82.0
252,253,Sell win,1.37799,43,1.37732366,2021-10-29 13:30:00+07:00,1.38077,1.38077,31,1.37864,1.37864,20,20.0,1.38016,1,-0.0021700000000000053,-100.0,43,1.37732366,4.0,0.0,Sell,win,0.31283568075117296,30.0,0.0007309244877363854,8.029447627214187e-05,normal,0,1,79.44664031620553,856.0,-0.21568627450980393,100.0,82.0
