,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,accum_winrate20,accum_winrate50
149,150,Sell win,109.006,11,108.87029799999999,2021-03-16 19:30:00+07:00,109.257,109.257,10,109.018,109.018,55,2390.0,109.086,0,-0.0799999999999983,-35.0,11,108.87029799999999,1.0,0.0,Sell,win,0.5677907949791072,55.0,0.001590450406103942,9.324117931937778e-05,normal,0,1,79.33333333333333,506.0,0.6923076923076923,90.0,84.0
150,151,Sell win,108.703,11,108.703,2021-03-18 05:00:00+07:00,109.308,109.308,12,108.824,108.824,64,4840.0,109.126,7,-0.4230000000000018,-85.0,11,108.703,10.0,108.703,Sell,win,0.0,0.0,0.0,9.262368806560708e-05,same_hi,0,4,79.47019867549669,506.0,0.6842105263157895,90.0,86.0
151,152,Sell win,108.813,11,108.675792,2021-03-19 13:00:00+07:00,109.09,109.09,10,108.834,108.834,22,2560.0,108.907,0,-0.09399999999999409,-35.0,11,108.675792,4.0,0.0,Sell,win,0.5359687500000039,55.0,0.0015013130252100949,0.0001018913810731366,normal,1,1,79.60526315789474,561.0,0.375,90.0,86.0
152,153,Sell win,108.443,12,108.53472599999999,2021-03-23 17:00:00+07:00,109.04,108.847,90,108.654,108.654,49,3860.0,108.758,15,-0.3149999999999977,-80.0,12,108.53472599999999,27.0,0.0,Sell,win,0.2376321243523105,25.0,0.0006656362026675363,0.00010557598775022419,swap_TP,0,1,79.73856209150327,586.0,-0.2949640287769784,90.0,86.0
153,154,Buy win,108.931,12,109.042578,2021-03-25 08:00:00+07:00,108.906,108.906,21,108.685,108.685,11,2210.0,108.859,0,-0.07200000000000273,-35.0,12,109.042578,13.0,0.0,Buy,win,0.5048778280543293,50.0,0.0014142236079953204,0.00011407369956999753,normal,0,0,79.87012987012987,636.0,0.3125,90.0,86.0
154,155,Sell win,109.531,13,109.410152,2021-03-29 09:00:00+07:00,109.807,109.792,25,109.556,109.556,21,2510.0,109.634,0,-0.10299999999999443,-40.0,13,109.410152,6.0,0.0,Sell,win,0.4814661354581956,50.0,0.0013486446371378028,0.00012203867336075757,swap_TP,0,0,80.0,686.0,-0.08695652173913043,90.0,86.0
155,156,Buy loss,110.796,13,110.593,2021-04-01 23:00:00+07:00,110.789,110.789,11,110.6,110.6,6,1890.0,110.593,20,-0.20300000000000296,-105.0,13,110.90580200000001,0.0,0.0,Buy,loss,-1.074074074074049,-105.0,-0.003008610851748037,0.00010197040717416273,loss,0,0,79.48717948717949,581.0,0.29411764705882354,85.0,84.0
156,157,Sell win,110.593,13,110.48319799999999,2021-04-01 23:00:00+07:00,110.789,110.789,31,110.6,110.6,26,1890.0,110.669,18,-0.0759999999999934,-40.0,13,110.48319799999999,27.0,0.0,Sell,win,0.5809629629630265,60.0,0.0016273472351905505,0.00011168618314878939,normal,9,4,79.61783439490446,641.0,-0.08771929824561403,90.0,84.0
157,158,Sell win,110.529,14,110.44386200000001,2021-04-05 18:00:00+07:00,110.829,110.672,99,110.531,110.531,16,2980.0,110.569,0,-0.04000000000000625,-15.0,14,110.44386200000001,3.0,0.0,Sell,win,0.2856979865771474,30.0,0.0008002744722048947,0.00011604433687699257,swap_TP,0,0,79.74683544303798,671.0,-0.7217391304347827,90.0,86.0
158,159,Sell win,109.562,14,109.470354,2021-04-08 15:30:00+07:00,110.532,109.87,90,109.623,109.623,33,9090.0,109.712,0,-0.15000000000000568,-15.0,14,109.470354,3.0,0.0,Sell,win,0.10082068206820469,10.0,0.0002824108741406294,0.00011709066730003431,swap_TP,0,0,79.87421383647799,681.0,-0.4634146341463415,90.0,86.0
159,160,Sell win,109.214,15,108.96144999999999,2021-04-13 20:30:00+07:00,109.73,109.73,19,109.255,109.255,53,4750.0,109.333,1,-0.11899999999999977,-25.0,15,108.96144999999999,20.0,0.0,Sell,win,0.5316842105263349,55.0,0.0014893115140793692,0.00012566704759240516,normal,0,5,80.0,736.0,0.4722222222222222,90.0,86.0
160,161,Buy loss,109.066,15,108.816,2021-04-15 14:00:00+07:00,109.008,109.008,8,108.817,108.817,26,1910.0,108.816,35,-0.25,-130.0,15,109.126038,0.0,0.0,Buy,loss,-1.3089005235601923,-130.0,-0.003666388021177009,0.00010211391051930321,loss,1,0,79.5031055900621,606.0,-0.5294117647058824,85.0,84.0
161,162,Sell win,108.816,15,108.698962,2021-04-15 14:00:00+07:00,109.008,109.008,43,108.817,108.817,61,1910.0,108.916,0,-0.09999999999999432,-50.0,15,108.698962,4.0,0.0,Sell,win,0.6127643979057928,60.0,0.001716426884890176,0.00011207880542282711,normal,5,1,79.62962962962963,666.0,0.17307692307692307,85.0,84.0
162,163,Sell win,107.968,16,107.92085,2021-04-21 07:00:00+07:00,108.478,108.204,31,108.029,108.029,67,4490.0,108.281,15,-0.3130000000000024,-70.0,16,107.92085,96.0,107.824,Sell,win,0.10501113585746598,10.0,0.0002941488399368795,0.00011319579949960044,same_hi,2,1,79.75460122699387,676.0,0.3673469387755102,85.0,84.0
163,164,Buy win,108.143,17,108.34755999999999,2021-04-26 22:00:00+07:00,108.088,108.088,49,107.668,107.668,22,4200.0,108.062,12,-0.08100000000000307,-20.0,17,108.34755999999999,22.0,0.0,Buy,win,0.48704761904760147,50.0,0.0013642790449512646,0.0001208243558743057,normal,3,3,79.8780487804878,726.0,0.38028169014084506,85.0,86.0
