Index,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
163,Sell win,2021-04-01T07:00:00+07:00,0.75813,0.76325,0.76325,20,0.75894,0.75894,60,0.75953,0,0.75627642,9,0,Sell,win,0.430064965,0.001452922
164,Buy win,2021-04-05T17:00:00+07:00,0.76241,0.76233,0.76233,14,0.76045,0.76045,9,0.76169,0,0.76349184,5,0,Buy,win,0.575446809,0.001944077
165,Sell win,2021-04-06T09:30:00+07:00,0.76439,0.76571,0.76571,24,0.76469,0.76469,11,0.76491,0,0.76405964,1,0,Sell,win,0.323882353,0.001094197
166,Sell loss,2021-04-08T01:30:00+07:00,0.76051,0.7672,0.76409,35,0.76108,0.76108,65,0.76471,34,0.76036,0,0.76036,Sell,loss,-0.68627451,-0.002318495
167,Buy win,2021-04-08T18:30:00+07:00,0.76471,0.7672,0.76409,69,0.76108,0.76168,99,0.76318,7,0.76557938,9,0.76036,Buy,win,0.142055556,0.000479917
168,Sell loss,2021-04-13T19:00:00+07:00,0.75964,0.76341,0.76341,50,0.75969,0.75969,68,0.76384,10,0.75964,0,0.75964,Sell,loss,-1.129032258,-0.003814298
169,Buy win,2021-04-14T00:00:00+07:00,0.76384,0.76341,0.76341,60,0.75969,0.75969,78,0.76315,0,0.76570896,19,0.75964,Buy,win,0.502408602,0.001697326
170,Buy win,2021-04-16T02:30:00+07:00,0.77565,0.77564,0.77564,21,0.77193,0.77293,27,0.77241,13,0.77565,30,0.77565,Buy,win,0,0
171,Buy win,2021-04-19T14:30:00+07:00,0.77665,0.77526,0.77526,40,0.77107,0.77107,13,0.77443,0,0.77784942,2,0,Buy,win,0.286257757,0.000967087
172,Sell loss,2021-04-23T01:00:00+07:00,0.77014,0.77602,0.77602,31,0.77081,0.77081,58,0.77657,62,0.77014,0,0.77014,Sell,loss,-1.234165067,-0.004169477
173,Buy win,2021-04-26T08:00:00+07:00,0.77657,0.77602,0.77602,93,0.77081,0.77081,120,0.7756,0,0.77923978,17,0.77014,Buy,win,0.512433781,0.001731195
174,Sell win,2021-04-27T15:00:00+07:00,0.7776,0.77989,0.77989,5,0.77817,0.77817,12,0.77843,0,0.77710704,1,0,Sell,win,0.286604651,0.000968259
175,Buy win,2021-04-29T01:30:00+07:00,0.77935,0.77864,0.77864,62,0.77329,0.77774,23,0.77721,0,0.7791962,35,0.78145,Buy,win,0.028747664,9.71E-05
176,Sell loss,2021-05-04T22:00:00+07:00,0.76957,0.77664,0.7737,41,0.77018,0.77018,88,0.77373,40,0.77089,0,0.77089,Sell,loss,-0.643962848,-0.00217555
177,Buy win,2021-05-05T18:00:00+07:00,0.77373,0.77664,0.7737,81,0.77018,0.77018,128,0.7701,31,0.77587536,50,0.77089,Buy,win,0.332099071,0.001121956
178,Buy win,2021-05-10T13:00:00+07:00,0.78616,0.78605,0.78605,29,0.77616,0.78285,48,0.7846,2,0.7880276,8,0,Buy,win,0.188837209,0.000637964
179,Sell win,2021-05-12T07:30:00+07:00,0.7823,0.78553,0.78553,22,0.78249,0.78249,40,0.78374,0,0.78061128,5,0,Sell,win,0.5555,0.001876689
180,Sell win,2021-05-13T10:00:00+07:00,0.7722,0.78115,0.77491,40,0.77228,0.77228,13,0.77311,0,0.77065466,5,0,Sell,win,0.17422097,0.000588584
181,Buy win,2021-05-18T08:00:00+07:00,0.77928,0.77865,0.77865,61,0.77338,0.77338,26,0.77758,0,0.78087,22,0.78087,Buy,win,0.30170778,0.001019283
182,Sell win,2021-05-19T14:00:00+07:00,0.77689,0.7804,0.7804,26,0.77811,0.77811,31,0.77834,0,0.77669478,1,0,Sell,win,0.085248908,0.000288003
183,Buy loss,2021-05-21T21:00:00+07:00,0.77782,0.77781,0.77781,39,0.77441,0.77441,7,0.77391,6,0.7799112,0,0,Buy,loss,-1.15,-0.003885135
184,Sell win,2021-05-21T21:00:00+07:00,0.77391,0.77781,0.77781,45,0.77441,0.77441,13,0.77608,0,0.7723088,5,0,Sell,win,0.470941176,0.001591017
185,Buy loss,2021-05-26T21:30:00+07:00,0.77767,0.77752,0.77752,39,0.77397,0.77397,21,0.77389,24,0.77953,0,0.77953,Buy,loss,-1.064788732,-0.003597259
186,Sell win,2021-05-26T21:30:00+07:00,0.77389,0.77752,0.77541,63,0.77397,0.77397,45,0.77627,0,0.77308008,53,0.77272,Sell,win,0.228146479,0.000770765
187,Buy win,2021-06-01T07:30:00+07:00,0.77478,0.77461,0.77461,91,0.76807,0.77321,72,0.77308,20,0.7754752,28,0.77646,Buy,win,0.106299694,0.000359121
188,Sell win,2021-06-02T11:30:00+07:00,0.77466,0.77674,0.77674,9,0.77496,0.77496,14,0.77529,0,0.77385996,3,0,Sell,win,0.449460674,0.001518448
189,Sell win,2021-06-03T19:00:00+07:00,0.77054,0.77552,0.77552,34,0.77168,0.77168,50,0.77199,0,0.76930688,2,0,Sell,win,0.321125,0.001084882
190,Buy win,2021-06-07T14:30:00+07:00,0.77477,0.77446,0.77446,25,0.76491,0.77319,77,0.7738,0,0.77524486,5,0,Buy,win,0.04972356,0.000167985
191,Sell win,2021-06-09T21:30:00+07:00,0.77312,0.77645,0.77585,99,0.77343,0.77343,35,0.77419,0,0.77271,9,0.77271,Sell,win,0.135761589,0.000458654
192,Sell win,2021-06-15T15:30:00+07:00,0.76918,0.77159,0.77159,6,0.76973,0.76973,14,0.76993,0,0.76858052,2,0,Sell,win,0.322301075,0.001088855
193,Sell win,2021-06-18T11:30:00+07:00,0.75335,0.77132,0.77054,81,0.75435,0.75435,25,0.75506,9,0.74785,53,0.74785,Sell,win,0.324101355,0.001094937
