time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-12-27T03:30:00+07:00,16842,16842,16837,16838,16831.85,16852.65649,16811.04351,45.59036394,62.46266428
2022-12-27T03:45:00+07:00,16837,16841,16837,16840,16833.45,16851.39965,16815.50035,28.76344086,46.97925283
2022-12-27T04:00:00+07:00,16840,16845,16840,16845,16834.75,16852.08061,16817.41939,41.66666667,38.67349049
2022-12-27T04:15:00+07:00,16845,16846,16843,16844,16835.5,16853.06701,16817.93299,65.50925926,45.31312226
2022-12-27T04:30:00+07:00,16844,16844,16831,16835,16835.5,16853.06701,16817.93299,68.14814815,58.44135802
2022-12-27T04:45:00+07:00,16834,16834,16825,16832,16835.15,16852.70306,16817.59694,45.92592593,59.86111111
2022-12-27T05:00:00+07:00,16832,16841,16830,16841,16835.55,16853.25282,16817.84718,45.3968254,53.15696649
2022-12-27T05:15:00+07:00,16841,16843,16841,16842,16836,16853.87736,16818.12264,63.49206349,51.60493827
2022-12-27T05:30:00+07:00,16842,16843,16837,16839,16836.25,16854.14832,16818.35168,76.94235589,61.94374826
2022-12-27T05:45:00+07:00,16838,16838,16837,16838,16836.45,16854.33267,16818.56733,75.61960457,72.01800798
2022-12-27T06:00:00+07:00,16839,16843,16821,16843,16837.2,16854.85899,16819.54101,81.96881092,78.17692379
2022-12-27T06:15:00+07:00,16845,16857,16844,16857,16838.7,16857.68526,16819.71474,90.74074074,82.77638541
2022-12-27T06:30:00+07:00,16857,16873,16853,16873,16841.35,16863.65942,16819.04058,100,90.90318389
2022-12-27T06:45:00+07:00,16873,16933,16873,16917,16846.4,16883.97339,16808.82661,95.23809524,95.32627866
2022-12-27T07:00:00+07:00,16920,16961,16920,16961,16853.3,16914.44278,16792.15722,95.23809524,96.82539683
2022-12-27T07:15:00+07:00,16960,16960,16906,16910,16856.5,16922.30122,16790.69878,80.70818071,90.39479039
2022-12-27T07:30:00+07:00,16910,16916,16881,16882,16858.15,16924.76614,16791.53386,61.08736942,79.01121512
2022-12-27T07:45:00+07:00,16882,16883,16852,16871,16859.6,16926.00904,16793.19096,33.56443364,58.45332792
2022-12-27T08:00:00+07:00,16871,16886,16862,16882,16861.6,16928.17747,16795.02253,23.93532676,39.52904328
2022-12-27T08:15:00+07:00,16882,16885,16858,16867,16862.85,16928.84477,16796.85523,19.61433911,25.70469984
2022-12-27T08:30:00+07:00,16868,16869,16858,16858,16863.85,16928.90774,16798.79226,16.92894156,20.15953581
2022-12-27T08:45:00+07:00,16858,16865,16857,16865,16865.1,16929.2308,16800.9692,20.49972767,19.01433611
2022-12-27T09:00:00+07:00,16865,16887,16865,16886,16867.15,16931.20084,16803.09916,48.09232026,28.5069965
2022-12-27T09:15:00+07:00,16886,16886,16874,16883,16869.1,16932.58512,16805.61488,73.85620915,47.48275236
2022-12-27T09:30:00+07:00,16883,16883,16873,16877,16871.2,16932.78441,16809.61559,83.33333333,68.42728758
2022-12-27T09:45:00+07:00,16877,16879,16874,16879,16873.55,16932.50244,16814.59756,75.55555556,77.58169935
2022-12-27T10:00:00+07:00,16879,16879,16863,16863,16874.65,16931.92923,16817.37077,46.66666667,68.51851852
2022-12-27T10:15:00+07:00,16863,16865,16859,16865,16875.8,16931.30712,16820.29288,31.85185185,51.35802469
2022-12-27T10:30:00+07:00,16865,16867,16861,16862,16876.95,16930.2697,16823.6303,11.57407407,30.0308642
2022-12-27T10:45:00+07:00,16862,16869,16862,16868,16878.45,16928.91375,16827.98625,26.57407407,23.33333333
