time,open,high,low,close,%K,%D,,,,,,
2010-05-02T21:00:00Z,0.92503,0.92749,0.92175,0.92605,68.86570071,63.00608988,,,,,,
2010-05-03T21:00:00Z,0.92605,0.92724,0.90829,0.90888,43.18791106,60.27597097,,,,,,
2010-05-04T21:00:00Z,0.90888,0.91182,0.90202,0.90589,27.14531516,46.39964231,,,,,,
2010-05-05T21:00:00Z,0.90589,0.90929,0.87061,0.88448,12.53836231,27.62386284,,,,,,
2010-05-06T21:00:00Z,0.88448,0.89378,0.88028,0.88619,20.85366547,20.17911431,,,,,,
2010-05-09T21:00:00Z,0.88619,0.90782,0.88619,0.90261,35.44596165,22.94599648,,,,,,
2010-05-10T21:00:00Z,0.90261,0.90349,0.89326,0.89497,47.67000544,34.65654419,,,,,,
2010-05-11T21:00:00Z,0.89497,0.89801,0.88882,0.89334,58.12774566,47.08123758,,,,,,
2010-05-12T21:00:00Z,0.89334,0.90259,0.89301,0.89584,58.12524073,54.64099728,,,,,,
2010-05-13T21:00:00Z,0.89584,0.89734,0.88499,0.88564,39.37032903,51.87443847,,,,,,
2010-05-16T21:00:00Z,0.88564,0.88617,0.86854,0.8773,28.13704851,41.87753942,,,,,,
2010-05-17T21:00:00Z,0.8773,0.87889,0.86249,0.86432,10.82503322,26.11080359,,,,,,
2010-05-18T21:00:00Z,0.86432,0.86432,0.83567,0.8468,15.41992262,18.12733479,,,,,,
2010-05-19T21:00:00Z,0.8468,0.84984,0.81508,0.81678,7.754002742,11.3329862,,,,,,
2010-05-20T21:00:00Z,0.81678,0.83655,0.80711,0.83149,16.51191864,13.22861467,,,,,,
2010-05-23T21:00:00Z,0.83149,0.8358,0.81854,0.82645,19.94913168,14.73835102,,,,,,
2010-05-24T21:00:00Z,0.82645,0.8277,0.80656,0.82763,31.41976962,22.62693998,,,,,,
2010-05-25T21:00:00Z,0.82763,0.83903,0.8188,0.82135,32.53159941,27.96683357,,,,,,
2010-05-26T21:00:00Z,0.82135,0.85289,0.82015,0.85134,55.76859851,39.90665585,,,,,,
2010-05-27T21:00:00Z,0.85134,0.85514,0.84285,0.84611,70.7464558,53.01555124,,,,,,
2010-05-30T21:00:00Z,0.84611,0.8515,0.83819,0.84576,86.25272732,70.92259388,,,,,,
2010-05-31T21:00:00Z,0.84576,0.84759,0.82818,0.83107,65.28939776,74.09619363,,,,,,
2010-06-01T21:00:00Z,0.83107,0.84239,0.82755,0.84195,58.91986828,70.15399779,,,,,,
2010-06-02T21:00:00Z,0.84195,0.85229,0.83642,0.84474,52.79104841,59.00010482,,,,,,
2010-06-03T21:00:00Z,0.84474,0.8477,0.82129,0.82213,42.43945858,51.38345842,,,,,,
2010-06-06T21:00:00Z,0.82213,0.8228,0.80959,0.81044,22.33516426,39.18855708,,,,,,
2010-06-07T21:00:00Z,0.81044,0.82856,0.80819,0.82747,16.1397102,26.97144435,,,,,,
2010-06-08T21:00:00Z,0.82747,0.83581,0.81942,0.82793,30.15711931,22.87733126,,,,,,
2010-06-09T21:00:00Z,0.82793,0.8509,0.82618,0.85016,62.2493701,36.18206654,,,,,,
2010-06-10T21:00:00Z,0.85016,0.85064,0.84255,0.85019,80.45563843,57.62070928,,,,,,
2010-06-13T21:00:00Z,0.85019,0.86672,0.85019,0.85842,94.14141618,78.94880824,,,,,,
2010-06-14T21:00:00Z,0.85842,0.86609,0.85055,0.86546,93.83100536,89.47601999,,,,,,
2010-06-15T21:00:00Z,0.86546,0.8674,0.85813,0.8641,91.7165226,93.22964804,,,,,,
2010-06-16T21:00:00Z,0.8641,0.86859,0.85822,0.8685,96.32823589,93.95858795,,,,,,
2010-06-17T21:00:00Z,0.8685,0.8713,0.86517,0.87025,95.55820316,94.53432055,,,,,,
2010-06-20T21:00:00Z,0.87025,0.88591,0.87025,0.8763,89.16761002,93.68468302,,,,,,
2010-06-21T21:00:00Z,0.8763,0.88316,0.87127,0.87127,71.71622273,85.48067864,,,,,,
2010-06-22T21:00:00Z,0.87127,0.87804,0.86609,0.87382,58.82021411,73.23468229,,,,,,
2010-06-23T21:00:00Z,0.87382,0.8771,0.86409,0.86651,38.24299553,56.25981079,,,,,,
2010-06-24T21:00:00Z,0.86651,0.87584,0.85954,0.87527,42.3599631,46.47439091,,,,,,
2010-06-27T21:00:00Z,0.87527,0.87771,0.87072,0.87216,41.39038611,40.66444825,,,,,,
2010-06-28T21:00:00Z,0.87216,0.87216,0.84715,0.84878,39.4524015,41.06758357,,,,,,
2010-06-29T21:00:00Z,0.84878,0.85669,0.84019,0.84063,19.9595979,33.60079517,,,,,,
2010-06-30T21:00:00Z,0.84063,0.84483,0.83157,0.84302,10.42175819,23.2779192,,,,,,
2010-07-01T21:00:00Z,0.84302,0.85106,0.84023,0.84251,16.56631081,15.6492223,,,,,,
2010-07-04T21:00:00Z,0.84251,0.84673,0.83707,0.83961,22.77801966,16.58869622,,,,,,
