time,open,high,low,close,Basis,Upper1,Lower1,Upper2.5,Lower2.5,Upper2,Lower2
1483034400,0.72067,0.72226,0.7202,0.72149,0.719087,0.720679112,0.717494888,0.72306728,0.71510672,0.722271224,0.715902776
1483048800,0.72149,0.72464,0.72134,0.72432,0.7194535,0.721337603,0.717569397,0.724163757,0.714743243,0.723221705,0.715685295
1483063200,0.72432,0.72437,0.72242,0.72358,0.71978,0.721781449,0.717778551,0.724783624,0.714776376,0.723782899,0.715777101
1483077600,0.72358,0.72444,0.72156,0.72243,0.7200215,0.722036688,0.718006312,0.72505947,0.71498353,0.724051876,0.715991124
1483092000,0.72243,0.72307,0.72198,0.72211,0.720216,0.722235647,0.718196353,0.725265118,0.715166882,0.724255294,0.716176706
1483106400,0.72211,0.72446,0.72126,0.72169,0.7203355,0.722368078,0.718302922,0.725416946,0.715254054,0.724400657,0.716270343
1483120800,0.72169,0.72214,0.71941,0.71997,0.7203865,0.722396344,0.718376656,0.72541111,0.71536189,0.724406188,0.716366812
1483394400,0.71997,0.72168,0.7194,0.72166,0.720532,0.722523353,0.718540647,0.725510382,0.715553618,0.724514706,0.716549294
1483408800,0.72166,0.72355,0.72153,0.72298,0.7207745,0.722753852,0.718795148,0.72572288,0.71582612,0.724733204,0.716815796
1483423200,0.72298,0.7235,0.72047,0.72049,0.7207815,0.722759586,0.718803414,0.725726714,0.715836286,0.724737671,0.716825329
1483437600,0.72049,0.72209,0.71976,0.72128,0.7207795,0.72275706,0.71880194,0.725723401,0.715835599,0.724734621,0.716824379
1483452000,0.72128,0.72411,0.71978,0.72367,0.7209945,0.723039722,0.718949278,0.726107556,0.715881444,0.725084945,0.716904055
1483466400,0.72367,0.72404,0.72155,0.7216,0.7212515,0.723014206,0.719488794,0.725658265,0.716844735,0.724776912,0.717726088
1483480800,0.7216,0.72352,0.72138,0.72311,0.721538,0.723102713,0.719973287,0.725449782,0.717626218,0.724667426,0.718408574
1483495200,0.72311,0.72416,0.72279,0.72387,0.721857,0.723198328,0.720515672,0.72521032,0.71850368,0.724539656,0.719174344
1483509600,0.72387,0.72792,0.72338,0.72654,0.722207,0.723789644,0.720624356,0.726163609,0.718250391,0.725372287,0.719041713
1483524000,0.72654,0.7272,0.72535,0.72641,0.7225005,0.724278964,0.720722036,0.72694666,0.71805434,0.726057428,0.718943572
1483538400,0.72641,0.72836,0.72612,0.72703,0.722771,0.724790113,0.720751887,0.727818784,0.717723216,0.726809227,0.718732773
1483552800,0.72703,0.72866,0.72543,0.72825,0.7231575,0.725432376,0.720882624,0.728844689,0.717470311,0.727707251,0.718607749
1483567200,0.72825,0.73027,0.72727,0.72825,0.7235365,0.725989806,0.721083194,0.729669766,0.717403234,0.728443113,0.718629887
1483581600,0.72825,0.73204,0.72777,0.73086,0.724005,0.726881021,0.721128979,0.731195052,0.716814948,0.729757041,0.718252959
1483596000,0.73086,0.73297,0.72862,0.72927,0.7242525,0.727349481,0.721155519,0.731994951,0.716510049,0.730446461,0.718058539
1483610400,0.72927,0.73147,0.72834,0.73053,0.7246,0.727979093,0.721220907,0.733047733,0.716152267,0.731358186,0.717841814
1483624800,0.73053,0.73567,0.73046,0.73368,0.7251625,0.729034029,0.721290971,0.734841323,0.715483677,0.732905559,0.717419441
1483639200,0.73368,0.73458,0.73326,0.73334,0.725724,0.729913409,0.721534591,0.736197521,0.715250479,0.734102817,0.717345183
1483653600,0.73334,0.7353,0.73252,0.73289,0.726284,0.73064192,0.72192608,0.737178799,0.715389201,0.734999839,0.717568161
1483668000,0.73289,0.73421,0.73142,0.73214,0.7268925,0.731175314,0.722609686,0.737599536,0.716185464,0.735458129,0.718326871
1483682400,0.73214,0.73445,0.73122,0.73424,0.7275215,0.73191208,0.72313092,0.73849795,0.71654505,0.73630266,0.71874034
1483696800,0.73424,0.73549,0.73069,0.73164,0.7279545,0.732302666,0.723606334,0.738824914,0.717084086,0.736650831,0.719258169
1483711200,0.73164,0.73309,0.72962,0.73042,0.728451,0.732473192,0.724428808,0.73850648,0.71839552,0.736495384,0.720406616
1483725600,0.73042,0.73064,0.72883,0.72929,0.7288515,0.732523238,0.725179762,0.738030846,0.719672154,0.736194977,0.721508023
1483912800,0.7294,0.7324,0.7288,0.73224,0.72928,0.732819739,0.725740261,0.738129347,0.720430653,0.736359477,0.722200523
