time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-05-11T12:00:00+07:00,960.51,962.2,959.85,961.57,958.67,965.49,951.85,51.43213639,68.14185514
2022-05-11T14:00:00+07:00,961.47,961.64,958.05,958.7,959.89,965.49,954.29,24.13753735,46.38366014
2022-05-11T15:00:00+07:00,959.37,960.4,955.67,959.86,960.58,965.49,955.67,31.62071357,35.7301291
2022-05-11T16:00:00+07:00,960,962.01,959,961.66,960.58,965.49,955.67,39.50882213,31.75569102
2022-05-12T09:00:00+07:00,958.02,958.22,956.46,957.66,960.58,965.49,955.67,46.56739994,39.23231188
2022-05-12T10:00:00+07:00,956.83,957.08,951,952.83,958.02,965.04,951,37.12212389,41.06611532
2022-05-12T11:00:00+07:00,953.47,954.96,948.22,953.36,956.605,964.99,948.22,28.12312397,37.2708826
2022-05-12T12:00:00+07:00,952.75,953.37,950.46,950.62,956.605,964.99,948.22,23.76618527,29.67047771
2022-05-12T14:00:00+07:00,949.76,950.59,946.47,948.61,954.335,962.2,946.47,24.29668945,25.3953329
2022-05-12T15:00:00+07:00,948.84,952.53,947.72,948.93,954.24,962.01,946.47,19.60078524,22.55455332
2022-05-12T16:00:00+07:00,948.9,950.44,947.57,950.31,954.24,962.01,946.47,28.87604061,24.25783843
2022-05-13T09:00:00+07:00,955.93,958.6,955.93,957.72,954.24,962.01,946.47,53.72020519,34.06567701
2022-05-13T10:00:00+07:00,957.77,957.77,952.14,953.74,952.535,958.6,946.47,65.96966316,49.52196965
2022-05-13T11:00:00+07:00,953.28,954.58,951.43,951.63,952.535,958.6,946.47,63.16267035,60.95084623
2022-05-13T12:00:00+07:00,951.95,953.05,949.51,951.02,952.535,958.6,946.47,42.67369439,57.26867597
2022-05-13T14:00:00+07:00,949.5,954.44,949.5,953.19,952.535,958.6,946.47,36.21216197,47.3495089
2022-05-13T15:00:00+07:00,953.83,955.47,952.51,953.71,952.535,958.6,946.47,40.91155825,39.93247154
2022-05-13T16:00:00+07:00,953.06,955.24,952.84,953.06,953.085,958.6,947.57,50.36261124,42.49544382
2022-05-17T09:00:00+07:00,961.01,962.83,961.01,961.95,955.2,962.83,947.57,67.97891092,53.08436014
2022-05-17T10:00:00+07:00,962.21,963.02,956.25,962.55,956.26,963.02,949.5,83.184503,67.17534172
2022-05-17T11:00:00+07:00,962.5,964.72,961.27,963.83,957.11,964.72,949.5,94.21097031,81.79146141
2022-05-17T12:00:00+07:00,964.11,964.69,962.23,962.69,957.11,964.72,949.5,90.71567309,89.37038213
2022-05-17T14:00:00+07:00,965.04,967.67,965.04,967.13,958.585,967.67,949.5,90.29826807,91.74163716
2022-05-17T15:00:00+07:00,967.3,971.21,966.18,969.96,960.355,971.21,949.5,89.94276551,90.31890222
2022-05-17T16:00:00+07:00,969.25,970.51,968.2,970.51,961.86,971.21,952.51,93.29119503,91.17740954
2022-05-18T09:00:00+07:00,972.63,972.63,971.27,972.01,962.735,972.63,952.84,92.88019768,92.03805274
2022-05-18T10:00:00+07:00,971.42,971.47,967.96,970.56,964.44,972.63,956.25,86.57449358,90.91529543
2022-05-18T11:00:00+07:00,971.26,972.33,967.39,968.49,964.44,972.63,956.25,67.52656258,82.32708462
2022-05-18T12:00:00+07:00,969.13,972.25,968.58,970.56,966.95,972.63,961.27,56.34580314,70.1489531
2022-05-18T14:00:00+07:00,971.28,972.32,969.16,971.78,967.43,972.63,962.23,60.02958755,61.30065109
2022-05-18T15:00:00+07:00,972.04,977.73,970.96,977.73,971.385,977.73,965.04,81.42493639,65.93344236
