,time,open,high,low,close,EMA,EMA75,EMA60,EMA45,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
39,2020-04-10T20:00:00+07:00,1.72273,1.72619,1.72254,1.72426,1.775325233,1.773567097,1.769394807,1.762202765,1.751541946,1.72842743,3,1,1.66476,91,1.97989,190,1.72426,0,1.66124,Buy,40,190,,,Buy,win,0.059499999999999886,3.5740887575386173,Buywin
40,2020-08-03T08:00:00+07:00,1.64893,1.65159,1.64693,1.64947,1.636584806,1.63758873,1.63898456,1.640880428,1.643425569,1.643326454,3,2,1.72426,226,1.60332,484,1.64947,22,1.73511,Sell,41,484,,,Sell,win,0.07478999999999991,4.337512904086386,Sellwin
41,2020-09-02T16:00:00+07:00,1.61494,1.61768,1.61419,1.61677,1.634105123,1.632654968,1.630589277,1.627678022,1.623710883,1.623304596,3,1,1.64947,3,1.6559,134,1.61677,133,1.61403,Buy,42,134,,,Buy,loss,-0.03269999999999995,-1.9824549703844236,Buyloss
42,2020-10-20T12:00:00+07:00,1.67197,1.6742,1.67015,1.67396,1.646041007,1.647295951,1.64884548,1.650920634,1.654148489,1.653970966,3,2,1.61677,62,1.6124,204,1.67396,0,1.6742,Sell,43,204,,,Sell,loss,-0.05718999999999985,-3.537299677752547,Sellloss
43,2020-11-11T01:00:00+07:00,1.62344,1.62564,1.62101,1.62125,1.64209901,1.640598476,1.638364454,1.63515056,1.630824016,1.630139822,3,1,1.67396,2,1.68273,93,1.62125,91,1.61884,Buy,44,93,,,Buy,loss,-0.05270999999999981,-3.1488207603526854,Buyloss
44,2021-04-30T12:00:00+07:00,1.55751,1.55917,1.5567,1.55685,1.55431642,1.554773678,1.555250524,1.555758657,1.556378001,1.555908723,3,2,1.62125,448,1.52527,724,1.55685,96,1.64198,Sell,45,724,,,Sell,win,0.06440000000000001,3.97224363916731,Sellwin
45,2021-09-07T08:00:00+07:00,1.5944,1.59805,1.59091,1.59761,1.609337507,1.608836594,1.607747871,1.605763527,1.602516441,1.600260904,3,1,1.55685,480,1.64365,551,1.59761,37,1.54193,Buy,46,551,,,Buy,win,0.04075999999999991,2.618107075183859,Buywin
46,2021-09-22T12:00:00+07:00,1.61773,1.6199,1.61592,1.61931,1.611048256,1.611462991,1.612102416,1.613179617,1.61492847,1.612152543,3,2,1.59761,1,1.59091,68,1.61931,64,1.62347,Sell,47,68,,,Sell,loss,-0.021700000000000053,-1.3582789291504218,Sellloss
47,2021-10-08T00:00:00+07:00,1.58016,1.58106,1.57862,1.57894,1.601642313,1.600364321,1.598637136,1.596230008,1.592807635,1.591970313,3,1,1.61931,2,1.62043,69,1.57894,68,1.5786,Buy,48,69,,,Buy,loss,-0.04037000000000002,-2.4930371578017807,Buyloss
48,2021-12-04T01:00:00+07:00,1.61389,1.61709,1.61358,1.61498,1.576029442,1.578331299,1.581406646,1.585523928,1.591087377,1.591762343,3,2,1.57894,97,1.5354,247,1.61498,0,1.61709,Sell,49,247,,,Sell,loss,-0.03604000000000007,-2.282543985205269,Sellloss
49,2021-12-30T21:00:00+07:00,1.557,1.56251,1.55688,1.56029,1.571360187,1.570351636,1.568903444,1.566963097,1.564605811,1.566477936,3,1,1.61498,0,1.61709,113,1.56029,112,1.55667,Buy,50,113,,,Buy,loss,-0.05469000000000013,-3.386419646063736,Buyloss
50,2022-01-31T05:00:00+07:00,1.59229,1.59529,1.59124,1.59168,1.578838245,1.579592042,1.580556924,1.581826875,1.583662081,1.578985143,3,2,1.56029,5,1.55612,129,1.59168,126,1.59792,Sell,51,129,,,Sell,loss,-0.03139000000000003,-2.011805497695943,Sellloss
51,2022-02-22T05:00:00+07:00,1.57189,1.57526,1.57125,1.57177,1.58538932,1.584970036,1.584047232,1.582353443,1.579606555,1.579949808,3,1,1.59168,28,1.62255,96,1.57177,94,1.57073,Buy,52,96,,,Buy,loss,-0.019910000000000094,-1.250879573783681,Buyloss
