time,open,high,low,close,EMA60,EMA100,EMA,EMA45,EMA75,ParabolicSAR
2020-06-01T06:00:00Z,107.547,107.646,107.486,107.625,107.6056423,107.6113058,107.6069171,107.6027484,107.6091346,107.8387925
2020-06-01T07:00:00Z,107.625,107.628,107.506,107.527,107.6030638,107.6096363,107.6017611,107.599455,107.6069732,107.8105691
2020-06-01T08:00:00Z,107.527,107.539,107.379,107.408,107.5966683,107.6056435,107.5892604,107.5911309,107.6017371,107.7846036
2020-06-01T09:00:00Z,107.408,107.622,107.404,107.597,107.5966792,107.6054724,107.5897597,107.591386,107.6016124,107.7440432
2020-06-01T10:00:00Z,107.597,107.744,107.593,107.721,107.6007553,107.6077601,107.5982268,107.5970214,107.6047542,107.379
2020-06-01T11:00:00Z,107.721,107.763,107.702,107.731,107.6050256,107.6102005,107.6067929,107.6028466,107.6080764,107.3863
2020-06-01T12:00:00Z,107.731,107.746,107.65,107.709,107.6084346,107.6121569,107.6133869,107.6074619,107.6107323,107.401368
2020-06-01T13:00:00Z,107.709,107.758,107.654,107.656,107.6099941,107.6130251,107.6161361,107.6095723,107.6119236,107.4158333
2020-06-01T14:00:00Z,107.656,107.709,107.545,107.558,107.6082894,107.6119355,107.6123854,107.60733,107.6105045,107.4297199
2020-06-01T15:00:00Z,107.558,107.639,107.531,107.57,107.607034,107.611105,107.6096508,107.605707,107.6094386,107.4430512
2020-06-01T16:00:00Z,107.57,107.617,107.564,107.577,107.6060493,107.6104297,107.6075443,107.6044589,107.608585,107.4558491
2020-06-01T17:00:00Z,107.577,107.629,107.574,107.608,107.6061132,107.6103816,107.6075737,107.6046128,107.6085696,107.4681351
2020-06-01T18:00:00Z,107.608,107.647,107.598,107.603,107.6060111,107.6102354,107.6072787,107.6045427,107.608423,107.4799297
2020-06-01T19:00:00Z,107.603,107.606,107.566,107.579,107.6051255,107.6096169,107.6054542,107.6034321,107.6076487,107.4912525
2020-06-01T20:00:00Z,107.579,107.601,107.566,107.587,107.6045313,107.609169,107.6042636,107.6027177,107.6071053,107.5021224
2020-06-01T21:00:00Z,107.587,107.642,107.537,107.632,107.6054319,107.6096211,107.6060531,107.6039908,107.6077605,107.5125575
2020-06-01T22:00:00Z,107.632,107.648,107.554,107.557,107.6038439,107.6085791,107.6028884,107.6019478,107.6064247,107.5225752
2020-06-01T23:00:00Z,107.557,107.575,107.514,107.559,107.6023736,107.6075974,107.6000569,107.6000805,107.6051766,107.763
2020-06-02T00:00:00Z,107.559,107.625,107.518,107.569,107.6012794,107.6068331,107.5980532,107.5987291,107.6042246,107.75802
2020-06-02T01:00:00Z,107.569,107.669,107.568,107.665,107.6033686,107.6079849,107.6023723,107.6016105,107.605824,107.7531396
2020-06-02T02:00:00Z,107.665,107.698,107.633,107.69,107.606209,107.6096089,107.6080257,107.6054535,107.6080391,107.7483568
2020-06-02T03:00:00Z,107.69,107.737,107.69,107.723,107.6100382,107.6118543,107.6154434,107.6105642,107.6110644,107.7436697
2020-06-02T04:00:00Z,107.723,107.742,107.683,107.698,107.6129222,107.6135602,107.6207697,107.6143658,107.6133522,107.514
2020-06-02T05:00:00Z,107.698,107.755,107.693,107.696,107.6156461,107.6151926,107.6256232,107.6179151,107.6155271,107.51856
2020-06-02T06:00:00Z,107.696,107.782,107.687,107.78,107.6210347,107.6184562,107.635583,107.6249623,107.6198554,107.5280176
2020-06-02T07:00:00Z,107.78,107.837,107.744,107.784,107.6263778,107.6217342,107.6451583,107.6318769,107.624175,107.5432565
2020-06-02T08:00:00Z,107.784,107.797,107.699,107.769,107.631054,107.6246504,107.6531481,107.6378388,107.6279862,107.566756
2020-06-02T09:00:00Z,107.769,107.785,107.68,107.714,107.6337735,107.6264197,107.657074,107.6411502,107.6302497,107.5883755
2020-06-02T10:00:00Z,107.714,107.791,107.713,107.766,107.6381088,107.6291837,107.6641015,107.6465784,107.6338221,107.6082655
2020-06-02T11:00:00Z,107.766,107.936,107.765,107.905,107.6468593,107.6346454,107.6796433,107.6578141,107.6409583,107.6265643
2020-06-02T12:00:00Z,107.905,108.469,107.898,108.306,107.6684705,107.6479395,107.7200535,107.6859961,107.6584594,107.6575078
2020-06-02T13:00:00Z,108.306,108.472,108.304,108.336,107.6903567,107.6615645,107.7597919,107.7142572,107.6762894,107.7548869
