,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
144,Buy win,2021-03-01T07:00:00Z,84.042,83.989,83.989,12,83.548,83.548,19,83.892,3,84.261538,13,0,Buy,win,0.497818594,0.002155059
145,Buy win,2021-03-02T11:00:00Z,84.548,84.52,84.52,23,84.18,84.388,7,84.347,7,84.601576,35,84.676,Buy,win,0.157576471,0.000682149
146,Sell loss,2021-03-03T22:00:00Z,84.527,84.785,84.785,11,84.538,84.538,17,84.793,18,84.472,0,84.472,Sell,loss,-1.076923077,-0.004662005
147,Buy win,2021-03-04T07:00:00Z,84.793,84.785,84.785,29,84.538,84.538,35,84.716,0,84.937646,11,84.472,Buy,win,0.585611336,0.002535114
148,Buy win,2021-03-05T06:30:00Z,85.551,85.493,85.493,28,84.992,84.992,11,85.144,10,85.551,15,85.551,Buy,win,0,0
149,Buy win,2021-03-08T14:30:00Z,85.929,85.887,85.887,31,85.505,85.505,7,85.784,0,86.123076,20,0,Buy,win,0.508052356,0.002199361
150,Buy win,2021-03-11T12:00:00Z,86.341,86.327,86.327,95,85.762,85.762,84,86.201,5,86.67617,25,0,Buy,win,0.593221239,0.002568057
151,Buy win,2021-03-15T01:30:00Z,87.494,87.479,87.479,14,87.295,87.295,9,87.427,0,87.592712,14,0,Buy,win,0.536478261,0.002322417
152,Buy win,2021-03-16T23:00:00Z,87.628,87.619,87.619,77,87.276,87.276,18,87.433,22,87.655,38,87.655,Buy,win,0.078717201,0.000340767
153,Sell win,2021-03-18T17:00:00Z,87.396,88.038,88.038,29,87.448,87.448,62,87.509,0,87.08338,4,0,Sell,win,0.529864407,0.002293785
154,Sell loss,2021-03-22T01:00:00Z,86.866,87.16,87.16,16,86.901,86.901,22,87.174,22,86.740938,0,86.716,Sell,loss,-1.189189189,-0.005148005
155,Buy loss,2021-03-22T14:00:00Z,87.174,87.16,87.16,38,86.901,86.901,44,86.749,4,87.320062,0,86.716,Buy,loss,-1.640926641,-0.007103579
156,Sell win,2021-03-22T14:00:00Z,86.749,87.16,87.16,42,86.901,86.901,48,86.985,0,86.740938,2,86.716,Sell,win,0.031127413,0.000134751
157,Sell win,2021-03-23T03:30:00Z,86.717,86.967,86.967,18,86.739,86.739,24,86.747,0,86.598096,5,0,Sell,win,0.521508772,0.002257614
158,Sell loss,2021-03-24T02:00:00Z,86.11,86.752,86.752,18,86.129,86.129,32,86.755,25,86.11,0,86.11,Sell,loss,-1.035313002,-0.004481874
159,Buy win,2021-03-24T14:30:00Z,86.755,86.752,86.752,43,86.129,86.407,57,86.371,13,86.755,34,86.755,Buy,win,0,0
160,Buy win,2021-03-26T07:30:00Z,86.914,86.912,86.912,42,86.45,86.45,27,86.837,0,87.197516,8,0,Buy,win,0.613670996,0.002656584
161,Sell win,2021-03-29T00:30:00Z,87.012,87.369,87.247,22,87.043,87.043,13,87.101,0,86.916928,4,0,Sell,win,0.291631902,0.001262476
162,Buy win,2021-03-31T00:30:00Z,87.737,87.606,87.606,28,87.264,87.264,15,87.539,0,87.817356,4,0,Buy,win,0.234959064,0.001017139
163,Buy loss,2021-04-05T16:30:00Z,88.258,88.213,88.213,48,87.855,87.878,43,87.832,80,88.264,0,88.264,Buy,loss,-1.189944134,-0.005151273
164,Sell win,2021-04-05T16:30:00Z,87.832,88.213,88.176,128,87.855,87.878,123,88.093,17,87.693836,39,88.264,Sell,win,0.385932961,0.001670705
165,Sell win,2021-04-13T07:30:00Z,86.876,87.569,87.243,65,87.033,87.033,22,87.084,0,86.90322,2,0,Sell,win,0.050783582,0.000219842
166,Sell win,2021-04-14T12:00:00Z,86.705,87.087,86.903,40,86.746,86.746,21,86.792,0,86.648974,2,0,Sell,win,0.16429912,0.000711252
167,Sell win,2021-04-15T15:00:00Z,86.634,87.145,87.094,14,86.643,86.643,53,87.116,44,86.687,81,86.687,Sell,win,0.105577689,0.000457046
168,Sell win,2021-04-20T14:30:00Z,86.112,86.864,86.864,15,86.22,86.22,44,86.419,0,85.822008,5,0,Sell,win,0.450298137,0.001949343
169,Sell win,2021-04-23T12:00:00Z,86.176,86.687,86.687,39,86.307,86.307,31,86.393,0,86.07216,1,0,Sell,win,0.273263158,0.001182957
170,Sell loss,2021-05-04T11:30:00Z,88.608,89.172,89.137,57,88.666,88.666,43,89.19,75,88.374922,0,0,Sell,loss,-1.150197628,-0.004979211
171,Buy win,2021-05-06T01:00:00Z,89.19,89.172,89.137,132,88.666,88.666,118,89.001,4,89.428078,24,0,Buy,win,0.470509881,0.002036839
172,Buy win,2021-05-10T03:00:00Z,89.828,89.799,89.799,51,89.174,89.718,26,89.673,22,89.849058,26,90.073,Buy,win,0.0336928,0.000145856
173,Buy win,2021-05-12T12:30:00Z,90.308,90.087,90.087,87,89.581,89.581,47,89.987,0,90.399708,1,0,Buy,win,0.181241107,0.000784594
174,Sell win,2021-05-13T07:30:00Z,90.291,90.533,90.533,8,90.325,90.325,22,90.389,0,90.196456,2,0,Sell,win,0.454538462,0.001967699
175,Buy win,2021-05-17T17:30:00Z,90.449,90.439,90.439,54,90.045,90.045,12,90.371,0,90.682492,17,0,Buy,win,0.592619289,0.002565451
176,Buy win,2021-05-20T15:30:00Z,90.278,90.228,90.228,43,89.762,89.906,14,89.854,33,90.278,39,90.278,Buy,win,0,0
177,Sell win,2021-05-24T06:00:00Z,90.129,90.417,90.326,31,90.142,90.142,27,90.374,14,90.028288,19,0,Sell,win,0.366225455,0.001585392
178,Sell win,2021-05-26T12:00:00Z,90.061,90.327,90.327,11,90.09,90.09,31,90.1,0,89.943534,1,0,Sell,win,0.495637131,0.002145615
179,Buy loss,2021-05-31T04:30:00Z,91.051,91.036,91.036,40,90.798,90.798,5,90.794,30,91.099,0,91.099,Buy,loss,-1.079831933,-0.004674597
180,Sell win,2021-05-31T04:30:00Z,90.794,91.036,90.927,70,90.798,90.798,35,90.962,11,90.794,17,90.794,Sell,win,0,0
181,Buy loss,2021-06-04T01:00:00Z,91.118,91.109,91.109,25,90.65,90.933,91,90.922,13,91.217768,0,0,Buy,loss,-0.427015251,-0.001848551
182,Sell win,2021-06-04T01:00:00Z,90.922,91.109,91.109,38,90.65,90.933,104,91.025,12,90.89,13,90.89,Sell,win,0.069716776,0.000301804
183,Buy loss,2021-06-07T04:30:00Z,90.728,90.72,90.72,7,90.478,90.592,17,90.559,12,90.799104,0,0,Buy,loss,-0.698347107,-0.003023148
184,Sell win,2021-06-07T04:30:00Z,90.559,90.72,90.72,19,90.478,90.592,29,90.629,0,90.512896,3,0,Sell,win,0.190512397,0.000824729
185,Buy loss,2021-06-08T18:00:00Z,90.619,90.603,90.603,30,90.394,90.394,18,90.38,21,90.658,0,90.658,Buy,loss,-1.14354067,-0.004950393
186,Sell win,2021-06-08T18:00:00Z,90.38,90.603,90.603,51,90.394,90.394,39,90.456,0,90.351,25,90.351,Sell,win,0.138755981,0.000600675
187,Sell loss,2021-06-10T07:00:00Z,90.336,90.668,90.668,34,90.356,90.356,12,90.726,11,90.163184,0,0,Sell,loss,-1.25,-0.005411255
